"","age","agecat","degree","educ","emailhrs","hrs1","ndegree","netcat","nethrs","sex","sphrs1","srcheng2","tvhours","usecomp","usemail","usenet","useweb","webhrs","hapmar","happy","speduc","rincome","life","income","maeduc","paeduc","marital","postlife","pres96","richwork","satjob","sibs","spdeg","spwrksta","vote96","wrkstat","zodiac","incomdol","rincdol","husbeduc","wifeduc","husbhr","wifehr","husbft","wifeft","wkftwife","wkfthusb","ageC","educ.diff","wifeduc_comp"
"23",62,"60-89","Less than HS",11,-1,19,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",6,"No","No","No","No",-1,"VERY HAPPY","VERY HAPPY",12,"$4 000 TO 4 999","EXCITING","$35000 TO 39999",9,98,"MARRIED","YES","CLINTON","CONTINUE WORKING","VERY SATISFIED",7,"HIGH SCHOOL","RETIRED","VOTED","WORKING PARTTIME","TAURUS",37500,4500,12,11,NA,19,"No","No",0,0,15.3636363636364,-1,11
"24",61,"60-89","Less than HS",8,-1,36,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",2,"Yes","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$20000 TO 22499","NAP","$20000 TO 22499",98,97,"SEPARATED","NO","CLINTON","NAP","VERY SATISFIED",2,"NAP","NAP","VOTED","WORKING FULLTIME","SAGITTARIUS",21250,21250,NA,NA,NA,NA,NA,NA,NA,NA,14.3636363636364,NA,13.2845659163987
"25",46,"40-49","Less than HS",9,-1,30,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$12500 TO 14999","EXCITING","$12500 TO 14999",12,98,"DIVORCED","NAP","CLINTON","CONTINUE WORKING","MOD. SATISFIED",4,"NAP","NAP","VOTED","WORKING PARTTIME","TAURUS",13750,13750,NA,NA,NA,NA,NA,NA,NA,NA,-0.636363636363633,NA,13.2845659163987
"26",75,"60-89","Less than HS",11,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"No","No","No","No",-1,"VERY HAPPY","VERY HAPPY",12,"NAP","ROUTINE","$35000 TO 39999",4,4,"MARRIED","NAP","CLINTON","NAP",NA,11,"HIGH SCHOOL","RETIRED","VOTED","KEEPING HOUSE","PISCES",37500,-2,12,11,NA,NA,"No","No",0,0,28.3636363636364,-1,11
"27",76,"60-89","Less than HS",7,-1,-1,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","EXCITING","$7 000 TO 7 999",98,98,"DIVORCED","NAP","NAP","NAP","NAP",4,"NAP","NAP","DONT KNOW/REMMBR","RETIRED","CANCER",7500,-2,NA,NA,NA,NA,NA,NA,NA,NA,29.3636363636364,NA,13.2845659163987
"28",67,"60-89","Less than HS",9,-1,-1,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",5,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","ROUTINE","$12500 TO 14999",98,98,"DIVORCED","YES","NAP","NAP","NAP",3,"NAP","NAP","DID NOT VOTE","RETIRED","CAPRICORN",13750,-2,NA,NA,NA,NA,NA,NA,NA,NA,20.3636363636364,NA,13.2845659163987
"29",60,"60-89","Less than HS",11,2.5,27,"Less than high school","1+ to  4 hours",2.5,"Female",-1,"Not applicable",4,"Yes","Yes","Yes","No",0,"NAP","VERY HAPPY",97,"DK","EXCITING","DK",98,98,"WIDOWED","YES","CLINTON","STOP WORKING","VERY SATISFIED",5,"NAP","NAP","VOTED","WORKING PARTTIME","CAPRICORN",-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,13.3636363636364,NA,13.2845659163987
"30",43,"40-49","Less than HS",10,-1,40,"Less than high school","Not Internet user",-1,"Male",50,"Not applicable",5,"No","No","No","No",-1,"PRETTY HAPPY","VERY HAPPY",12,"$40000 TO 49999","ROUTINE","$40000 TO 49999",0,99,"MARRIED","DK","NAP","STOP WORKING","VERY SATISFIED",6,"HIGH SCHOOL","WORKING FULLTIME","DID NOT VOTE","WORKING FULLTIME","CANCER",45000,45000,10,12,40,50,"Yes","Yes",1,1,-3.63636363636363,2,12
"31",47,"40-49","Less than HS",11,-1,40,"Less than high school","Not Internet user",-1,"Female",40,"Not applicable",1,"No","No","No","No",-1,"PRETTY HAPPY","PRETTY HAPPY",14,"$8 000 TO 9 999","NAP","$40000 TO 49999",12,12,"MARRIED","YES","DOLE","NAP","MOD. SATISFIED",4,"JUNIOR COLLEGE","WORKING FULLTIME","VOTED","WORKING FULLTIME","ARIES",45000,9000,14,11,40,40,"Yes","Yes",1,1,0.363636363636367,-3,11
"32",24,"18-29","Less than HS",11,-1,40,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"$8 000 TO 9 999","ROUTINE","$8 000 TO 9 999",10,97,"NEVER MARRIED","NAP","NAP","STOP WORKING","MOD. SATISFIED",3,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","ARIES",9000,9000,NA,NA,NA,NA,NA,NA,NA,NA,-22.6363636363636,NA,13.2845659163987
